供应商,PO_NO,产品型号,二级代码,LOT_ID,WAFER_ID,WAFER_QTY,站点,状态,DIE_NUM,ACTION_TIME,LOT_TYPE,EQPTID,特殊品/真空包备注,等级,WO_NO,ROUTE_ID,属性,产地
Galaxycore,SHGC-2020091103,GC02M1BO-WC1X0-2.1,HH,A002578.01,9,1,WHS,INV,5869,2021-01-04 08.28.28,MP,CP004,,A,WO_201204019,WC1X0,ZSH,浙江
Galaxycore,SHGC-2020091103,GC02M1BO-WC1X0-2.1,HH,A002578.01,8,1,INV,INV,5869,2021-01-04 07.21.39,MP,CP004,,A,WO_201204019,WC1X0,ZSH,浙江
Galaxycore,SHGC-2020091103,GC02M1BO-WC1X0-2.1,HH,A002578.01,7,1,INV,INV,5869,2021-01-04 05.44.32,MP,CP004,,A,WO_201204019,WC1X0,ZSH,浙江
Galaxycore,SHGC-2020091103,GC02M1BO-WC1X0-2.1,HH,A002578.01,6,1,INV,INV,5869,2021-01-04 04.36.55,MP,CP004,,A,WO_201204019,WC1X0,ZSH,浙江
Galaxycore,SHGC-2020091103,GC02M1BO-WC1X0-2.1,HH,A002578.01,5,1,INV,INV,5869,2021-01-04 03.21.34,MP,CP004,,A,WO_201204019,WC1X0,ZSH,浙江
Galaxycore,SHGC-2020091103,GC02M1BO-WC1X0-2.1,HH,A002578.01,4,1,INV,INV,5869,2021-01-04 02.07.03,MP,CP004,,A,WO_201204019,WC1X0,ZSH,浙江
Galaxycore,SHGC-2020091103,GC02M1BO-WC1X0-2.1,HH,A002578.01,3,1,INV,INV,5869,2021-01-04 00.58.57,MP,CP004,,A,WO_201204019,WC1X0,ZSH,浙江
Galaxycore,SHGC-2020091103,GC02M1BO-WC1X0-2.1,HH,A002578.01,2,1,INV,INV,5869,2021-01-03 23.53.15,MP,CP004,,A,WO_201204019,WC1X0,ZSH,浙江
Galaxycore,SHGC-2020091103,GC02M1BO-WC1X0-2.1,HH,A002578.01,1,1,INV,INV,5869,2021-01-03 22.46.52,MP,CP004,,A,WO_201204019,WC1X0,ZSH,浙江
Galaxycore,SHGC-2020011602,GC02M1BO-WC1X0-2.1,HH,A002072.18,21,1,INV,INV,5869,2020-10-18 08.28.40,MP,CP001,,A,WO_201015003,WC1X0,ZSH,浙江
Galaxycore,SHGC-2020011602,GC02M1BO-WC1X0-2.1,HH,A002072.18,18,1,INV,INV,5869,2020-10-18 04.44.42,MP,CP001,,A,WO_201015003,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,HH,A000693.01,14,1,INV,INV,5869,2020-04-17 09.55.34,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,HH,A000693.01,13,1,INV,INV,5869,2020-04-17 06.43.32,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,HH,A000693.01,17,1,INV,INV,5869,2020-04-18 00.24.28,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,HH,A000693.01,15,1,INV,INV,5869,2020-04-17 12.01.03,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,HH,A000693.01,11,1,INV,WHS,5869,2020-04-17 03.51.35,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,HH,A000693.02,3,1,WHS,WHS,5869,2020-04-16 08.11.16,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,FF,A000693.02,2,1,WHS,WHS,5869,2020-04-16 06.03.44,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,FF,A000693.01,1,1,WHS,WHS,5869,2020-04-16 04.40.20,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,FF,A000693.01,12,1,WHS,WHS,5869,2020-04-17 05.30.52,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,FF,A000693.01,24,1,WHS,WHS,5869,2020-04-18 07.56.51,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,FF,A000693.23,23,1,WHS,WHS,5869,2020-04-18 06.41.05,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,FF,A000693.01,22,1,WHS,WHS,5869,2020-04-18 05.42.18,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,FF,A000693.01,21,1,WHS,WHS,5869,2020-04-18 05.01.03,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,FF,A000693.01,20,1,WHS,WHS,5869,2020-04-18 03.34.45,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,FF,A000693.01,19,1,WHS,WHS,5869,2020-04-18 02.28.11,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,FF,A000693.01,18,1,WHS,WHS,5869,2020-04-18 01.22.28,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
Galaxycore,SHGC-2019122301,GC02M1BO-WC1X0-2.1,FF,A000693.01,25,1,WHS111,WHS,5869,2020-04-18 01.22.28,MP,CP002,,A,WO_200415010,WC1X0,ZSH,浙江
